code,high_divide_low,close_divide_open,vol,pct_chg,min_open,max_close,max_high,min_low
603322,1.06562,1.06134,105582,-0.77,35.05,37.2,37.35,35.05
000056,1.04839,1.03792,105582,-0.77,5.01,5.2,5.2,4.96
000586,1.04452,1.03918,105582,-0.77,11.74,12.2,12.2,11.68
600898,1.03545,1.01343,105582,-0.77,8.19,8.3,8.47,8.18
603767,1.03423,1.02381,105582,-0.77,6.72,6.88,6.95,6.72
601113,1.03417,1.01287,105582,-0.77,7.77,7.87,7.87,7.61
603118,1.03125,1.02229,105582,-0.77,6.73,6.88,6.93,6.72
000608,1.03055,1.02024,105582,-0.77,4.94,5.04,5.06,4.91
300134,1.02944,1.01998,105582,-0.77,9.51,9.7,9.79,9.51
000851,1.02846,1.02846,105582,-0.77,4.92,5.06,5.06,4.92
300294,1.02748,1.01034,105582,-0.77,25.14,25.4,25.8,25.11
603519,1.02685,1.01325,105582,-0.77,9.06,9.18,9.18,8.94
600242,1.02599,1.00246,105582,-0.77,16.24,16.28,16.58,16.16
002411,1.0253,1.0253,105582,-0.77,18.97,19.45,19.45,18.97
002560,1.02527,1.00178,105582,-0.77,5.61,5.62,5.68,5.54
002592,1.02501,1.0,105582,-0.77,21.98,21.98,22.13,21.59
300659,1.02416,1.01784,105582,-0.77,19.06,19.4,19.5,19.04
300138,1.02364,1.01266,105582,-0.77,5.53,5.6,5.63,5.5
300123,1.02056,1.01838,105582,-0.77,9.25,9.42,9.43,9.24
300357,1.02041,1.02041,105582,-0.77,34.3,35.0,35.0,34.3
002446,1.02029,1.02029,105582,-0.77,8.38,8.55,8.55,8.38
603976,1.02021,1.01479,105582,-0.77,16.9,17.15,17.16,16.82
002289,1.01938,1.00969,105582,-0.77,5.16,5.21,5.26,5.16
300635,1.01937,1.01838,105582,-0.77,20.67,21.05,21.05,20.65
000912,1.01931,1.0,105582,-0.77,4.72,4.72,4.75,4.66
600608,1.01909,1.01667,105582,-0.77,4.2,4.27,4.27,4.19
300311,1.01884,1.00856,105582,-0.77,5.84,5.89,5.95,5.84
300392,1.01859,1.0136,105582,-0.77,8.09,8.2,8.22,8.07
600891,1.01799,1.01049,105582,-0.77,6.67,6.74,6.79,6.67
603803,1.01754,1.01365,105582,-0.77,10.26,10.4,10.44,10.26
300219,1.01745,1.01611,105582,-0.77,7.45,7.57,7.58,7.45
002007,1.01721,1.01456,105582,-0.77,30.21,30.65,30.73,30.21
600588,1.01719,1.01626,105582,-0.77,21.52,21.87,21.89,21.52
300598,1.01672,1.01219,105582,-0.77,22.15,22.42,22.5,22.13
300006,1.01667,1.01108,105582,-0.77,3.61,3.65,3.66,3.6
300578,1.01637,1.01047,105582,-0.77,17.2,17.38,17.38,17.1
300603,1.0162,1.01012,105582,-0.77,24.7,24.95,25.09,24.69
000982,1.01613,1.008,105582,-0.77,1.25,1.26,1.26,1.24
300130,1.0161,1.0125,105582,-0.77,11.2,11.34,11.36,11.18
300101,1.01602,1.01198,105582,-0.77,10.02,10.14,10.15,9.99
603877,1.01598,1.0,105582,-0.77,18.38,18.38,18.44,18.15
300085,1.01583,1.00131,105582,-0.77,7.63,7.64,7.7,7.58
002262,1.01572,1.01084,105582,-0.77,8.3,8.39,8.4,8.27
300232,1.01559,1.0,105582,-0.77,9.04,9.04,9.12,8.98
603730,1.01533,1.0086,105582,-0.77,20.92,21.1,21.2,20.88
600157,1.01527,1.00758,105582,-0.77,1.32,1.33,1.33,1.31
000760,1.0152,1.0152,105582,-0.77,3.29,3.34,3.34,3.29
603601,1.01517,1.0,105582,-0.77,7.34,7.34,7.36,7.25
603882,1.01505,1.01505,105582,-0.77,21.92,22.25,22.25,21.92
002104,1.015,1.015,105582,-0.77,6.0,6.09,6.09,6.0
002132,1.01493,1.01115,105582,-0.77,2.69,2.72,2.72,2.68
600090,1.0149,1.01301,105582,-0.77,5.38,5.45,5.45,5.37
000836,1.01489,1.01238,105582,-0.77,4.04,4.09,4.09,4.03
600196,1.01488,1.00694,105582,-0.77,21.6,21.75,21.82,21.5
002837,1.01483,1.01095,105582,-0.77,15.53,15.7,15.74,15.51
603637,1.01472,1.00836,105582,-0.77,14.36,14.48,14.48,14.27
002788,1.01467,1.00244,105582,-0.77,12.3,12.33,12.45,12.27
603042,1.01463,1.01144,105582,-0.77,15.74,15.92,15.95,15.72
300050,1.01461,1.01299,105582,-0.77,6.16,6.24,6.25,6.16
300338,1.01447,1.00863,105582,-0.77,6.95,7.01,7.01,6.91
002587,1.01443,1.01027,105582,-0.77,4.87,4.92,4.92,4.85
600060,1.01442,1.00837,105582,-0.77,8.36,8.43,8.44,8.32
300389,1.0144,1.00324,105582,-0.77,15.44,15.49,15.5,15.28
600539,1.01438,1.0,105582,-0.77,6.28,6.28,6.35,6.26
300261,1.01426,1.0122,105582,-0.77,4.92,4.98,4.98,4.91
300265,1.0142,1.0142,105582,-0.77,8.45,8.57,8.57,8.45
603866,1.01414,1.00022,105582,-0.77,44.45,44.46,44.48,43.86
603558,1.01408,1.01124,105582,-0.77,10.68,10.8,10.8,10.65
000058,1.01408,1.00465,105582,-0.77,6.45,6.48,6.48,6.39
002313,1.01405,1.01272,105582,-0.77,22.8,23.09,23.09,22.77
603030,1.01403,1.012,105582,-0.77,5.0,5.06,5.06,4.99
300312,1.01401,1.01184,105582,-0.77,9.29,9.4,9.41,9.28
603328,1.01389,1.00426,105582,-0.77,9.38,9.42,9.49,9.36
300322,1.01375,1.0049,105582,-0.77,10.2,10.25,10.32,10.18
002599,1.01374,1.0,105582,-0.77,9.5,9.5,9.59,9.46
300430,1.01372,1.01372,105582,-0.77,8.02,8.13,8.13,8.02
600018,1.0137,1.00195,105582,-0.77,5.12,5.13,5.18,5.11
002851,1.01359,1.01309,105582,-0.77,20.62,20.89,20.89,20.61
002850,1.01357,1.01041,105582,-0.77,19.22,19.42,19.42,19.16
002544,1.01357,1.00995,105582,-0.77,11.06,11.17,11.2,11.05
002504,1.01351,1.01081,105582,-0.77,3.7,3.74,3.75,3.7
000520,1.01351,1.00673,105582,-0.77,2.97,2.99,3.0,2.96
002511,1.01343,1.01343,105582,-0.77,8.19,8.3,8.3,8.19
600712,1.0134,1.0134,105582,-0.77,3.73,3.78,3.78,3.73
300545,1.01339,1.00276,105582,-0.77,21.76,21.82,21.94,21.65
000529,1.01336,1.0,105582,-0.77,4.54,4.54,4.55,4.49
000603,1.01331,1.0,105582,-0.77,9.81,9.81,9.9,9.77
300197,1.01319,1.00262,105582,-0.77,3.81,3.82,3.84,3.79
002427,1.01318,1.0,105582,-0.77,13.69,13.69,13.84,13.66
002260,1.01299,1.0,105582,-0.77,3.1,3.1,3.12,3.08
002042,1.01296,1.01109,105582,-0.77,5.41,5.47,5.47,5.4
300015,1.01288,1.01085,105582,-0.77,24.88,25.15,25.16,24.84
300661,1.01287,1.0089,105582,-0.77,66.29,66.88,66.88,66.03
002436,1.01285,1.0,105582,-0.77,4.71,4.71,4.73,4.67
002147,1.01282,1.00639,105582,-0.77,3.13,3.15,3.16,3.12
600022,1.01282,1.00637,105582,-0.77,1.57,1.58,1.58,1.56
600201,1.01282,1.00128,105582,-0.77,15.68,15.7,15.8,15.6
300145,1.01282,1.0,105582,-0.77,3.15,3.15,3.16,3.12
002106,1.01278,1.00957,105582,-0.77,6.27,6.33,6.34,6.26
300601,1.01277,1.01189,105582,-0.77,34.48,34.89,34.89,34.45
000802,1.01275,1.0009,105582,-0.77,11.05,11.06,11.12,10.98
603018,1.01273,1.00579,105582,-0.77,17.28,17.38,17.5,17.28
600235,1.01262,1.00472,105582,-0.77,6.36,6.39,6.42,6.34
300250,1.01261,1.00627,105582,-0.77,11.17,11.24,11.24,11.1
002716,1.01258,1.0,105582,-0.77,6.41,6.41,6.44,6.36
600745,1.01254,1.00337,105582,-0.77,20.76,20.83,21.0,20.74
300146,1.01251,1.0,105582,-0.77,16.9,16.9,16.99,16.78
300188,1.01245,1.00387,105582,-0.77,12.92,12.97,13.01,12.85
300552,1.01244,1.01174,105582,-0.77,14.48,14.65,14.65,14.47
002306,1.01242,1.00932,105582,-0.77,3.22,3.25,3.26,3.22
002023,1.01242,1.00667,105582,-0.77,10.5,10.57,10.6,10.47
002885,1.01236,1.00996,105582,-0.77,21.08,21.29,21.29,21.03
600525,1.01235,1.00988,105582,-0.77,4.05,4.09,4.1,4.05
603602,1.01234,1.01124,105582,-0.77,27.58,27.89,27.89,27.55
601669,1.01232,1.0082,105582,-0.77,4.88,4.92,4.93,4.87
002633,1.0123,1.00369,105582,-0.77,8.13,8.16,8.23,8.13
000918,1.01228,1.00271,105582,-0.77,7.37,7.39,7.42,7.33
002013,1.01221,1.00608,105582,-0.77,6.58,6.62,6.63,6.55
300347,1.01218,1.0,105582,-0.77,39.75,39.75,39.9,39.42
000823,1.01212,1.01091,105582,-0.77,8.25,8.34,8.35,8.25
300189,1.0121,1.0,105582,-0.77,2.5,2.5,2.51,2.48
300339,1.01209,1.00328,105582,-0.77,9.16,9.19,9.21,9.1
601099,1.01205,1.0,105582,-0.77,2.51,2.51,2.52,2.49
002397,1.01202,1.01202,105582,-0.77,4.16,4.21,4.21,4.16
002455,1.012,1.00399,105582,-0.77,5.01,5.03,5.06,5.0
002027,1.012,0.99801,105582,-0.77,5.03,5.02,5.06,5.0
000915,1.01198,1.01128,105582,-0.77,14.19,14.35,14.36,14.19
603043,1.01198,1.00386,105582,-0.77,25.88,25.98,26.18,25.87
