code,name,industry,interval_vol,vol,vol_ratio,high_divide_low,close_divide_open,pct_chg,min_open,max_close,max_high,min_low
600604,市北高新,园区开发,343085,2290686,0.15,1.13922,1.09169,-1.56,16.25,17.74,18.33,16.09
600651,飞乐音响,电器仪表,240059,1551032,0.155,1.11905,1.10285,-6.13,6.32,6.97,7.05,6.3
600086,东方金钰,服饰,220302,971947,0.227,1.10575,1.08519,0.35,5.4,5.86,5.96,5.39
002175,东方网络,电器仪表,330995,1432491,0.231,1.09687,1.09037,3.91,6.75,7.36,7.36,6.71
600290,华仪电气,电气设备,265976,2167972,0.123,1.08675,1.06993,4.75,8.58,9.18,9.27,8.53
000006,深振业A,区域地产,224677,595741,0.377,1.08255,1.0528,5.17,6.44,6.78,6.95,6.42
600895,张江高科,园区开发,182139,1425727,0.128,1.07725,1.05534,-4.42,23.31,24.6,25.1,23.3
601700,风范股份,电气设备,332949,845973,0.394,1.06977,1.06744,8.36,8.6,9.18,9.2,8.6
000723,美锦能源,焦炭加工,237924,1646233,0.145,1.06969,1.06159,5.06,6.17,6.55,6.6,6.17
600775,南京熊猫,通信设备,211893,468100,0.453,1.06637,1.06637,10.05,11.3,12.05,12.05,11.3
002883,中设股份,建筑施工,36773,103769,0.354,1.06279,1.06279,10.01,30.1,31.99,31.99,30.1
600082,海泰发展,园区开发,72794,467665,0.156,1.05893,1.02737,-1.23,5.48,5.63,5.75,5.43
002356,赫美集团,其他商业,113167,678226,0.167,1.05864,1.03106,2.82,16.42,16.93,17.15,16.2
600689,上海三毛,纺织,42342,300957,0.141,1.05835,1.04923,-2.68,12.39,13.0,13.06,12.34
000971,高升控股,互联网,178213,741188,0.24,1.05785,1.04938,6.24,4.86,5.1,5.12,4.84
603032,德新交运,公路,44836,167687,0.267,1.05771,1.04507,5.24,36.39,38.03,38.49,36.39
601113,华鼎股份,化纤,92288,582614,0.158,1.05706,1.03235,-1.63,10.2,10.53,10.56,9.99
601519,大智慧,软件服务,433477,1728737,0.251,1.05614,1.05019,9.31,10.56,11.09,11.1,10.51
000663,永安林业,林业,33434,68243,0.49,1.05517,1.05517,5.86,7.25,7.65,7.65,7.25
600226,瀚叶股份,农药化肥,292206,2235721,0.131,1.05479,1.04318,0.45,4.4,4.59,4.62,4.38
002017,东信和平,通信设备,180927,770417,0.235,1.05415,1.05353,10.01,17.0,17.91,17.91,16.99
000068,华控赛格,元器件,100745,754229,0.134,1.05363,1.03312,-3.42,6.34,6.55,6.68,6.34
300370,安控科技,电器仪表,370871,2188030,0.169,1.05333,1.04554,-3.9,5.27,5.51,5.53,5.25
002856,美芝股份,装修装饰,15424,52341,0.295,1.05188,1.03738,6.12,23.81,24.7,24.94,23.71
000859,国风塑业,塑料,173456,890299,0.195,1.04913,1.03902,1.41,6.92,7.19,7.26,6.92
603000,人民网,互联网,212404,939757,0.226,1.04895,1.03837,5.02,25.8,26.79,27.0,25.74
002139,拓邦股份,元器件,63756,297086,0.215,1.04679,1.01173,3.63,5.97,6.04,6.04,5.77
300638,广和通,通信设备,11366,39565,0.287,1.04673,1.03655,5.3,58.0,60.12,60.48,57.78
600094,大名城,区域地产,85065,553403,0.154,1.04641,1.02077,4.39,6.74,6.88,6.99,6.68
300033,同花顺,软件服务,29810,117198,0.254,1.0462,1.0393,6.4,85.5,88.86,89.45,85.5
600783,鲁信创投,矿物制品,64763,448554,0.144,1.04596,1.03302,-3.4,22.41,23.15,23.44,22.41
002547,春兴精工,通信设备,344646,915208,0.377,1.04578,1.04578,10.01,8.3,8.68,8.68,8.3
002535,林州重机,工程机械,181355,1369281,0.132,1.04517,1.02041,-9.31,4.9,5.0,5.09,4.87
300113,顺网科技,互联网,73693,247726,0.297,1.04491,1.03387,4.06,16.83,17.4,17.45,16.7
000670,盈方微,元器件,215585,1580511,0.136,1.04488,1.04309,-4.44,5.57,5.81,5.82,5.57
600218,全柴动力,农用机械,95166,707776,0.134,1.04448,1.02989,0.0,13.05,13.44,13.62,13.04
300139,晓程科技,元器件,96256,790262,0.122,1.04437,1.03645,-9.34,12.62,13.08,13.18,12.62
300572,安车检测,电器仪表,1242,9799,0.127,1.0431,1.01049,1.75,76.26,77.06,77.2,74.01
002691,冀凯股份,专用机械,45956,135588,0.339,1.04306,1.04182,4.41,8.37,8.72,8.72,8.36
000990,诚志股份,化工原料,67266,610906,0.11,1.04302,1.0307,1.44,18.89,19.47,19.64,18.83
002629,仁智股份,石油开采,85361,290987,0.293,1.0427,1.01794,2.04,4.46,4.54,4.64,4.45
600536,中国软件,软件服务,93424,543298,0.172,1.04264,1.03692,4.32,45.5,47.18,47.44,45.5
300539,横河模具,塑料,70769,321844,0.22,1.04242,1.0,-10.03,13.91,13.91,14.5,13.91
000011,深物业A,区域地产,66395,179605,0.37,1.04234,1.02336,3.08,11.13,11.39,11.57,11.1
600446,金证股份,软件服务,157533,621112,0.254,1.04199,1.04151,10.02,21.92,22.83,22.83,21.91
000070,特发信息,通信设备,122869,486954,0.252,1.04184,1.03239,2.08,14.82,15.3,15.44,14.82
000961,中南建设,建筑施工,171366,1057637,0.162,1.04153,1.03047,5.81,9.19,9.47,9.53,9.15
002249,大洋电机,电气设备,84824,813722,0.104,1.04023,1.02103,0.96,5.23,5.34,5.43,5.22
002621,三垒股份,专用机械,30357,107265,0.283,1.03987,1.0344,9.65,23.84,24.66,24.78,23.83
000682,东方电子,电气设备,180209,1294457,0.139,1.03966,1.03082,-4.19,5.84,6.02,6.03,5.8
